,artist_names,track_name,source,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,duration_ms,weeks_on_chart,streams
89,Anitta,Paradinha,WM Brazil,B,Minor,4 beats,0.695,0.775,0.0887,0.0117,0.191,0.0702,0.869,-5.041,180.054,141317,10,37423939
90,Calboy,Envy Me,Polo Grounds Music/RCA Records,B,Major,4 beats,0.556,0.481,0.313,0.282,0.0,0.216,0.581,-7.663,149.025,120137,13,75368218
91,"Christian Nodal, Peso Pluma",La Intención,"Producciones Ladon, S.A de C.V.",D,Major,3 beats,0.794,0.738,0.034,0.536,0.0,0.189,0.838,-3.842,131.857,249465,4,40277841
92,Kendrick Lamar,United In Grief,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,G#/Ab,Major,3 beats,0.529,0.845,0.404,0.244,0.0,0.143,0.331,-8.142,85.63,255378,3,39604743
93,Kendrick Lamar,LUST.,Aftermath,D#/Eb,Minor,4 beats,0.678,0.562,0.508,0.193,0.0,0.104,0.566,-9.197,94.241,307880,5,35666980
94,Khalid,Vertigo,"Right Hand Music Group, LLC/RCA Records",E,Minor,4 beats,0.487,0.458,0.0371,0.552,0.0257,0.117,0.207,-7.761,115.989,270413,1,7437136
95,"Future, Young Thug",No Cap,Epic/300/Atlantic Recording Corporation,C#/Db,Major,4 beats,0.8,0.523,0.107,0.00108,0.0,0.352,0.379,-6.578,147.057,144142,1,3345887
96,"Kanye West, XXXTENTACION",True Love,Columbia,F,Minor,4 beats,0.712,0.861,0.25,0.0182,6.09e-06,0.511,0.388,-5.487,84.042,148571,5,51482863
97,"Jung Kook, Major Lazer",Closer to You (feat. Major Lazer),BIGHIT MUSIC,D,Minor,4 beats,0.781,0.655,0.0457,0.114,0.00249,0.103,0.493,-7.073,113.031,170995,1,12835896
98,Wham!,Last Christmas - Single Version,Sony Music CG,D,Major,4 beats,0.733,0.598,0.0278,0.212,3.71e-06,0.156,0.935,-8.228,107.732,265960,51,288301814
99,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,"2020 Real Hasta La Muerte, LLC",G#/Ab,Major,4 beats,0.691,0.765,0.111,0.464,3.29e-06,0.203,0.855,-4.727,174.021,246000,25,199228985
100,Megan Thee Stallion,B.I.T.C.H.,300 Entertainment,B,Minor,4 beats,0.742,0.731,0.306,0.0851,0.0,0.131,0.547,-4.362,174.019,183143,1,5215211
101,Camila Cabello,Liar,Syco Music/Epic,B,Minor,4 beats,0.74,0.498,0.0456,0.0169,0.00282,0.319,0.652,-6.684,98.016,207039,22,60099553
102,"Selena Gomez, Rauw Alejandro",Baila Conmigo (with Rauw Alejandro),Selena Gomez Latin Project,F,Major,4 beats,0.823,0.544,0.0715,0.0215,0.00315,0.0966,0.664,-7.132,149.903,186088,24,170621325
103,NF,Lie,NF Real Music,F,Major,4 beats,0.513,0.661,0.24,0.161,0.0,0.246,0.179,-6.419,94.791,209213,3,13416937
104,"Roddy Ricch, Mustard",High Fashion (feat. Mustard),Atlantic Records,B,Minor,4 beats,0.831,0.499,0.114,0.269,0.0,0.3,0.511,-8.442,97.956,220487,28,226108906
105,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,"MSFTSMusic / Roc Nation Records, LLC",D,Major,4 beats,0.773,0.47,0.0299,0.0153,0.000193,0.0851,0.399,-7.93,94.995,162680,30,287702449
106,"Lizzo, Ariana Grande",Good as Hell (feat. Ariana Grande) - Remix,Nice Life/Atlantic,F,Minor,4 beats,0.668,0.892,0.0645,0.298,0.0,0.735,0.478,-3.001,95.927,159011,16,133930267
107,"Y2K, bbno$",Lalala,Columbia,D,Major,4 beats,0.843,0.391,0.0845,0.181,0.0,0.137,0.496,-7.899,129.972,160615,1,7748654
108,"Stormzy, Burna Boy, Ed Sheeran",Own It (feat. Ed Sheeran & Burna Boy),Atlantic Records UK,G,Minor,4 beats,0.817,0.781,0.112,0.00838,5.21e-06,0.123,0.359,-4.178,104.0,216707,3,27419873
109,Jess Glynne,I'll Be There,Atlantic Records UK,G,Major,4 beats,0.623,0.851,0.0409,0.0228,0.0,0.12,0.4,-3.111,100.063,193924,15,84912372
110,Arctic Monkeys,Why'd You Only Call Me When You're High?,Domino Recording Co,D,Major,4 beats,0.691,0.631,0.0368,0.0483,1.13e-05,0.104,0.8,-6.478,92.004,161124,118,593777301
111,"RAF Camora, Bonez MC",Blaues Licht,Indipendenza,G#/Ab,Minor,4 beats,0.819,0.835,0.102,0.398,0.00674,0.252,0.703,-4.899,144.955,144264,3,17794468
112,Travis Scott,MAFIA,Cactus Jack/Epic,C,Minor,4 beats,0.855,0.492,0.0483,0.0775,6.71e-06,0.111,0.385,-7.578,109.975,240000,2,19779022
113,J. Cole,i n t e r l u d e,"Dreamville, Inc., Under exclusive license to Roc Nation Records",C#/Db,Major,3 beats,0.77,0.574,0.106,0.0617,0.0,0.104,0.104,-5.525,98.962,133022,3,27997415
114,"Summer Walker, SZA",No Love (with SZA),LVRN/Interscope Records,C#/Db,Minor,4 beats,0.707,0.618,0.19,0.17,0.0,0.293,0.517,-5.825,133.876,231498,1,8425122
115,Sage The Gemini,Now and Later,Global Gemini,B,Minor,4 beats,0.781,0.57,0.188,0.273,0.0,0.196,0.858,-5.874,107.059,193181,15,116189090
116,"Drake, Tems",Fountains (with Tems),OVO,A#/Bb,Minor,4 beats,0.843,0.485,0.195,0.181,0.0675,0.107,0.689,-8.735,100.053,192418,2,21968668
117,"Rauw Alejandro, Nicky Jam",Que Le De,"Duars Entertainment, Corp.",C,Major,4 beats,0.77,0.75,0.0785,0.19,0.0,0.0618,0.609,-2.715,99.997,225600,1,4465013
118,"Marshmello, Anne-Marie",FRIENDS,Atlantic Records UK,A,Minor,4 beats,0.626,0.88,0.0504,0.205,0.0,0.128,0.534,-2.384,95.079,202621,67,714909410
119,Taylor Swift,epiphany,Taylor Swift,C#/Db,Major,4 beats,0.354,0.267,0.0281,0.731,0.000402,0.0858,0.113,-13.69,94.219,289749,2,20627791
120,The Chainsmokers,Sick Boy,Disruptor Records/Columbia,B,Minor,4 beats,0.548,0.58,0.121,0.104,0.0,0.127,0.462,-7.524,180.066,193893,17,22068526
121,Coldplay,Higher Power,Parlophone UK,A#/Bb,Major,4 beats,0.507,0.828,0.0449,0.00711,2.44e-05,0.261,0.489,-6.023,178.032,211295,6,43707281
122,"Capo Plaza, Sfera Ebbasta, DrefGold",Tesla (feat. Sfera Ebbasta & DrefGold),WMI Italy,B,Major,4 beats,0.854,0.626,0.0618,0.316,0.0,0.0961,0.377,-5.14,140.05,185147,1,4169823
123,"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),Sony Music CG,B,Major,4 beats,0.673,0.95,0.0488,0.0229,0.0823,0.398,0.563,-5.149,150.019,140000,3,25310953
124,"Eminem, Jessie Reyez",Nice Guy (with Jessie Reyez),Aftermath,G#/Ab,Major,4 beats,0.65,0.639,0.458,0.0942,0.0,0.135,0.563,-5.962,139.226,150802,2,16672906
125,Post Malone,Over Now,Republic Records,E,Minor,4 beats,0.569,0.777,0.0834,0.139,0.0,0.132,0.181,-4.041,164.027,246987,8,70679346
126,"Zedd, Maren Morris, Grey",The Middle,UMGRI Interscope,G,Major,4 beats,0.753,0.657,0.0449,0.171,0.0,0.112,0.437,-3.061,107.01,184732,82,421527037
127,Fifth Harmony,Angel,Syco Music/Epic,C#/Db,Minor,4 beats,0.738,0.525,0.0371,0.00339,0.0,0.351,0.13,-6.298,124.008,189440,1,3580700
128,"Lauv, Anne-Marie","fuck, i'm lonely",Lauv,A,Major,4 beats,0.809,0.547,0.0609,0.46,0.0,0.0543,0.717,-7.304,95.012,198973,21,5226991
129,Bad Bunny,TRELLAS,Rimas Entertainment LLC,D,Major,4 beats,0.43,0.412,0.0281,0.2,0.0,0.324,0.0508,-5.372,90.872,157673,1,10733416
130,"Amaarae, Kali Uchis, Moliy",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),0207 Def Jam,C#/Db,Minor,4 beats,0.87,0.523,0.0602,0.433,2.07e-05,0.113,0.319,-8.052,110.02,204764,17,135230212
131,The Weeknd,Call Out My Name,Universal Republic Records,C#/Db,Major,3 beats,0.461,0.593,0.0356,0.17,0.0,0.307,0.175,-4.954,134.17,228373,83,439293687
132,"TINI, Sebastian Yatra",Oye,5020 Records,G,Minor,4 beats,0.683,0.51,0.0646,0.447,0.0,0.175,0.255,-7.894,95.08,173021,2,9386488
133,"Khalid, John Mayer",Outta My Head (with John Mayer),"Right Hand Music Group, LLC/RCA Records",C,Major,4 beats,0.729,0.545,0.0316,0.0174,0.000274,0.369,0.514,-7.818,103.012,177067,8,68592608
134,"Justin Timberlake, Chris Stapleton",Say Something (feat. Chris Stapleton),RCA Records Label,A#/Bb,Major,4 beats,0.707,0.632,0.0789,0.103,1.09e-05,0.0841,0.372,-7.031,97.04,278893,1,10030315
135,Adele,Cry Your Heart Out,Columbia,G,Major,4 beats,0.756,0.713,0.102,0.523,3.35e-06,0.248,0.59,-6.917,125.064,255278,2,24440113
136,Taylor Swift,Labyrinth,Taylor Swift,C,Major,4 beats,0.406,0.306,0.0517,0.785,0.488,0.122,0.122,-15.48,110.014,247962,5,89377335
137,Megan Thee Stallion,Body,300 Entertainment,G#/Ab,Minor,4 beats,0.914,0.732,0.241,0.0166,0.0,0.107,0.469,-6.1,94.066,171067,13,101256889
138,"Rauw Alejandro, Anuel AA, NATTI NATASHA, Farruko, Lunay",Fantasias - Remix,"(SME US Latin) Duars Entertainment, Corp. (2)",C#/Db,Major,4 beats,0.816,0.72,0.0684,0.206,0.0,0.277,0.78,-4.454,94.004,267242,8,38522478
139,Gaullin,Moonlight,Columbia/B1 Recordings,A#/Bb,Minor,4 beats,0.813,0.761,0.085,0.0529,0.0119,0.337,0.29,-5.687,124.957,173067,6,29094254
140,"Metro Boomin, Coi Leray",Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Republic Records,A,Major,4 beats,0.775,0.298,0.0517,0.211,0.000233,0.132,0.0472,-9.351,120.091,189467,4,45171622
141,Future,I'M DAT N****,Epic/Freebandz,D,Major,4 beats,0.911,0.573,0.163,0.0112,5.83e-05,0.131,0.145,-5.573,144.026,271840,1,7821685
142,Zara Larsson,Ain't My Fault,Epic/Record Company TEN,F#/Gb,Minor,4 beats,0.576,0.782,0.0296,0.00778,0.0,0.285,0.355,-4.825,141.153,224031,6,18895865
143,"Niack, Markim WF",Na Raba Toma Tapão,Niack / Ritmo dos Fluxos,D#/Eb,Minor,4 beats,0.962,0.787,0.0554,0.666,5.74e-05,0.176,0.968,1.509,130.003,165231,4,9042343
144,Logic,The Return,Def Jam Recordings,B,Minor,4 beats,0.8,0.956,0.178,0.113,0.0,0.107,0.65,-4.432,90.025,252133,1,4289914
